num_enhancers,r,g,AC,RC,ma,mr,noise
2,0.1,0.9,1,1,5,5,0.3532997295
2,0.7,0.3,1,5,9,5,0.2757882451
2,0.7,0.7,1,1,7,5,0.2848187317
2,0.9,0.3,1,1,3,5,0.2703449728
2,0.1,0.3,1,5,5,5,0.3349616451
2,0.9,0.9,1,3,1,5,0.3373464412
15,0.741,0.12344,10.07,6.11,5.44,1.05,0.6241387744
2,0.5,0.3,1,9,7,5,0.2863008103
20,0.28969,0.89469,4.36,2.28,4.78,2,0.8054716198
5,0.1,0.6,1,6,6,5,0.5405363455
2,0.5,0.5,1,3,7,5,0.2911883331
2,0.1,0.7,1,3,3,5,0.3522252612
5,0.1,0.6,6,1,6,5,0.5521752939
10,0.4,0.2,4,2,2,5,0.4040358839
21,0.1,1,1,10,1,1,0.3864073059
2,0.1,0.9,1,1,1,5,0.318211962
2,0.3,0.3,1,9,9,5,0.2924668994
2,0.5,0.1,1,9,9,5,0.2766766304
2,0.3,0.3,1,9,1,5,0.3390234091
5,0.4,0.4,4,4,2,5,0.5232501024
2,0.3,0.3,1,3,3,5,0.306453391
2,0.7,0.5,1,9,3,5,0.301136379
2,0.5,0.3,1,5,7,5,0.2825136344
2,0.3,0.1,1,9,3,5,0.287668739
15,0.1,0.6,1,1,1,5,0.4530963301
2,0.24344,0.81106,6.02,2.41,10.17,9.03,0.3376703554
2,0.5,0.7,1,1,1,5,0.3440199644
2,0.5,0.7,1,7,3,5,0.3217005888
2,0.3,0.9,1,9,9,5,0.3225869921
2,0.9,0.3,1,7,3,5,0.2845344997
2,0.1,0.1,1,9,5,5,0.300925116
2,0.5,0.1,1,3,9,5,0.2645153841
5,0.92457,0.23014,5.14,2.8,1.34,3.9,0.3065708718
2,0.1,0.3,1,7,3,5,0.3455432921
2,0.9,0.9,1,5,7,5,0.2924733006
10,0.98095,0.64101,7.01,5.85,2.35,2.1,0.7443309527
2,0.1,0.1,1,5,5,5,0.2987975267
2,0.5,0.5,1,5,1,5,0.3378311134
2,0.7,0.3,1,7,7,5,0.2811146111
2,0.9,0.5,1,7,7,5,0.2834202003
15,0.37061,0.68546,3.71,3.23,8.71,3.63,0.5783517189
5,0.82566,0.24241,3.72,2.97,2.97,3,0.3142418308
2,0.9,0.7,1,3,3,5,0.2985830735
2,0.28633,0.48075,2.43,4.5,1.21,3,0.3524094209
2,0.7,0.5,1,9,7,5,0.2885598826
2,0.3,0.5,1,9,9,5,0.3032784855
2,0.1,0.9,1,5,5,5,0.3529122597
2,0.1,0.1,1,7,3,5,0.3103962274
2,0.7,0.1,1,9,1,5,0.2886120055
5,0.35445,0.56443,2.98,4.48,1.37,4,0.545293365
20,0.48116,0.67908,8.77,2.12,6.18,10.45,0.5328459971
10,0.2,0.2,4,4,4,5,0.5958612821
2,0.7,0.9,1,7,5,5,0.3068169976
2,0.7,0.9,1,5,5,5,0.3061103026
2,0.7,0.3,1,7,1,5,0.3127820752
